ID,text,device,favorites,retweets,date
1339362422046543880,".@KamalaHarris and I are building a historic Cabinet.

A Cabinet that looks like America and taps into the best of… https://t.co/sRbOYUw1CH",Twitter Media Studio,36477,3346,2020-12-17 00:11:00
1339382302992781317,"In this battle for the soul of America, democracy prevailed.",TweetDeck,250763,14378,2020-12-17 01:30:00
1339582371557883906,"When I think of climate change, I think about jobs. Good-paying, union jobs that put Americans to work, make our ai… https://t.co/9yVEgKulUv",TweetDeck,169756,13019,2020-12-17 14:45:00
1339636981345755137,"Millions of people are out of work. Small businesses are closing. People are struggling to pay their bills, stay in… https://t.co/IWuc14XiqN",TweetDeck,114520,11985,2020-12-17 18:22:00
1339685802956255242,"I’m prepared to sign a COVID relief package on day one, but I need @ReverendWarnock and @ossoff in the Senate to ge… https://t.co/hUXLtoxnPU",Twitter Media Studio,80605,16818,2020-12-17 21:36:00
1339712981916033025,"I always know malarkey when I see it, and I’m looking forward to joining @StephenAtHome tonight.

Make sure to tune… https://t.co/mskgo1AXak",Twitter Web App,44529,3357,2020-12-17 23:24:00
1339732371764109312,"RT @Transition46: The undeniable reality of climate change is taking a toll on lives and livelihoods across the country. 

This team will l…",Twitter Web App,0,2374,2020-12-18 00:41:03
1339745949237665792,"We have no time to waste to confront the climate crisis, protect our air and water, and deliver justice to communit… https://t.co/0hXAPAnRkh",Twitter Media Studio,28102,3570,2020-12-18 01:35:00
1339759790717734913,Let me be clear: The United States of America has always set an example for the world for the peaceful transition o… https://t.co/VJ2jVSJjX4,TweetDeck,225417,15460,2020-12-18 02:30:00
1340326524994633729,"Folks, there are less than three weeks until the Georgia Senate runoffs and we need to ensure @ossoff and… https://t.co/ZVAkzBtnaX",TweetDeck,28616,5467,2020-12-19 16:02:00
1340379335975268352,We need to meet the threat of climate change with the urgency it demands — and seize the opportunity to build back… https://t.co/YZTcmZJy4g,Periscope,28804,3562,2020-12-19 19:31:51
1340427943051284480,"On day one, my administration will rejoin the Paris Agreement and put America back in the business of leading the world on climate change.",TweetDeck,529335,32075,2020-12-19 22:45:00
1340460406888796160,"Together, we’re going to tackle the threat of climate change head-on and create millions of good-paying, union jobs. https://t.co/OMU4DiWLMT",Twitter Media Studio,30396,3036,2020-12-20 00:54:00
1340478274909040640,"When it comes to the existential threat of climate change, we have no time to lose. This team will be ready on day… https://t.co/wGqdujmL69",Twitter Media Studio,35818,3029,2020-12-20 02:05:00
1340665760021024770,I believe that every American has a fundamental right to breathe clean air and drink clean water. https://t.co/f6FfFlCWLG,Twitter Media Studio,67768,5789,2020-12-20 14:30:00
1340721628154482691,"As president, I’ll put America on a path to achieve a carbon-pollution free electricity sector by 2035 — a path tha… https://t.co/RemvX1lW4r",TweetDeck,178312,12220,2020-12-20 18:12:00
1340747549028851717,"In one month, we begin to heal.",TweetDeck,747581,50307,2020-12-20 19:55:00
1340791589275316224,"As the first Native American Cabinet Secretary in our nation’s history, Congresswoman Haaland will be a true stewar… https://t.co/UMt8j6Gkz9",Twitter Media Studio,36199,3686,2020-12-20 22:50:00
1340820529888915456,"One month, folks. https://t.co/wSuscy3dSN",Twitter Media Studio,98485,8651,2020-12-21 00:45:00
1341029406333087746,Georgia — Your vote has the power to change the future of this country. Don’t wait to use it. Make your plan to vot… https://t.co/Yj3MKVEZ7F,Twitter Media Studio,34268,6139,2020-12-21 14:35:00
1341076596887719936,"Tune in as @KamalaHarris rallies voters in Columbus, Georgia, ahead of the January Senate runoffs. https://t.co/MZjZOfZFt7",Periscope,23695,3053,2020-12-21 17:42:31
1341170334909816833,I know you're probably tired of hearing about politics after this year. But with just 15 days left until the Georgi… https://t.co/b7xoSlj6Fa,TweetDeck,19907,3351,2020-12-21 23:55:00
1341185434408415233,"Today, I received the COVID-19 vaccine.

To the scientists and researchers who worked tirelessly to make this possi… https://t.co/j9Dn8fVkO6",Twitter Media Studio,327868,23159,2020-12-22 00:55:00
1341255898711220225,"I applaud this relief package, but our work is far from over. Starting in the new year, Congress will need to immed… https://t.co/AMWRpFYDKN",Twitter Web App,46966,4612,2020-12-22 05:35:00
1341455463758479360,"Ten years ago today, I joined President Obama as he signed the repeal of Don’t Ask, Don’t Tell into law. Thanks to… https://t.co/NRIBvNLBDx",Twitter Media Studio,36135,3096,2020-12-22 18:48:00
1341470726037987330,Tune in as I deliver remarks ahead of the holiday. https://t.co/NScn1mPn0P,Periscope,21393,2507,2020-12-22 19:48:39
1341493715811127298,"In the first 100 days of my administration, we will:

- Ask all Americans to mask up
- Administer 100 million vacci… https://t.co/C9iq6LPLFV",TweetDeck,133814,10906,2020-12-22 21:20:00
1341547822093463552,"An educator will lead our Department of Education.

I am proud to nominate Dr. Miguel Cardona to ensure our teacher… https://t.co/JKTcd9TdZm",TweetDeck,221962,15140,2020-12-23 00:55:00
1341560833340522498,"RT @Transition46: Dr. Miguel Cardona has been nominated by the president-elect to lead the Department of Education. 

As a former public sc…",Twitter Web App,0,2160,2020-12-23 01:46:42
1341575504617345024,"Yesterday, in an effort to instill confidence in the vaccine, I had my shot administered in public. 
 
I have absol… https://t.co/BvJFqcxn2G",Twitter Media Studio,35474,3347,2020-12-23 02:45:00
1341768024806797313,This cybersecurity attack happened on Donald Trump’s watch. But rest assured that even if he does not take it serio… https://t.co/WfYn2KVixh,Twitter Media Studio,37973,4580,2020-12-23 15:30:00
1341786919126986753,"With Dr. Miguel Cardona leading the way, we’re going to ensure every student in this country receives a high-qualit… https://t.co/NjsZnFpXTy",Periscope,23272,2564,2020-12-23 16:45:05
1341839745689690112,"Here’s the simple truth: Our darkest days in this battle against COVID are ahead of us — not behind us.  
 
We need… https://t.co/WNAuxQhNNw",Twitter Media Studio,26974,3441,2020-12-23 20:15:00
1341884037606985729,"It’s long past time we pay teachers what they deserve.  

The work they do is of extreme national importance — and… https://t.co/PFOjoLqCPD",TweetDeck,273979,27732,2020-12-23 23:11:00
1341907693477490689,We need to make sure every child in this nation has access to a good education — regardless of zip code or disabili… https://t.co/Djm5EUf8oR,Twitter Media Studio,29771,3104,2020-12-24 00:45:00
1341931601060454401,"In the 21st century, twelve years of school isn’t enough. That’s why under the Biden-Harris plan, community college… https://t.co/E5FoVr5Tfc",TweetDeck,238929,24939,2020-12-24 02:20:00
1341941673933344769,Every student must be equipped to thrive in the economy of the future. Every educator needs resources to do their j… https://t.co/7iElcWw0VW,Twitter Media Studio,21804,2136,2020-12-24 03:00:01
1342138967865479169,"No matter how you’re celebrating this year, Champ and Major wish you a Merry Christmas. https://t.co/SrZBT4vmpP",Twitter Media Studio,269087,27588,2020-12-24 16:04:00
1342166602675089409,RT @DrBiden: Happy Birthday Dr. Fauci 💕 https://t.co/fhdVvtHvvy,Twitter Web App,0,5660,2020-12-24 17:53:48
1342184517872791552,To Linda — and everyone out there who’s hurting or struggling — keep the faith. https://t.co/pXDHmzvYQ8,Twitter Media Studio,30254,3863,2020-12-24 19:05:00
1342213458842927106,"I know how hard it is to forego holiday traditions — but it is so very important. Please wear masks, limit the size… https://t.co/nTTaceJfdH",TweetDeck,211942,16530,2020-12-24 21:00:00
1342257498405785600,We take holiday traditions very seriously in the Biden family. https://t.co/I7L6sGkkHN,Twitter Media Studio,77891,7262,2020-12-24 23:55:00
1342490030787407872,"From our family to yours, Merry Christmas and Happy Holidays. https://t.co/NzVEFFfrG1",Twitter Media Studio,230324,22185,2020-12-25 15:19:00
1342919359627481092,Jill and I send our heartfelt wishes to everyone celebrating Kwanzaa. We hope these days of reflection on the seven… https://t.co/lkoDY5be3C,TweetDeck,102475,7466,2020-12-26 19:45:00
1342994857023983616,"After a year of pain and loss, it’s time to unite, heal, and rebuild.",TweetDeck,415782,28735,2020-12-27 00:45:00
1343255327622381568,To all the health care workers on the front lines of this fight — thank you. You are true heroes.,TweetDeck,333080,26647,2020-12-27 18:00:01
1343320754478190593,From COVID-19 and the economy to climate change and racial justice — our nation is facing four historic crises at o… https://t.co/vuEA6Pw4Vq,TweetDeck,86730,8155,2020-12-27 22:20:00
1343364794665947136,We’ve gotten through tough times before in this nation — and we’ll get through them again. https://t.co/ulSsFLgNei,Twitter Media Studio,38206,4295,2020-12-28 01:15:00
1343591287467827201,"Folks, there’s just over one week until the Georgia Senate runoffs. With the races neck and neck, we need your help… https://t.co/CC60n7rNLx",TweetDeck,33940,6249,2020-12-28 16:15:00
1343650410817458177,"This afternoon, I was briefed by members of my national security and foreign policy agency review teams. Tune in as… https://t.co/iV6szrJfwT",Periscope,26259,3539,2020-12-28 20:09:56
1343709566622720001,"Right now, my team isn’t getting all the information that we need from the outgoing administration in key national… https://t.co/pRaOeA7DX2",Twitter Media Studio,64537,11009,2020-12-29 00:05:00
1343734732282974208,"This year, we’ve painfully learned the cost of being unprepared for a pandemic.
 
If we aren’t investing with our p… https://t.co/Wy7HaCEvgn",TweetDeck,84280,8508,2020-12-29 01:45:00
1343939833765519361,Meeting the most daunting threats of our time requires American engagement and leadership — but none of them can be… https://t.co/RUPEIg8fD1,Twitter Media Studio,22937,2835,2020-12-29 15:20:00
1343982615670501376,"One week, Georgia.

Vote early, and let’s flip the Senate: https://t.co/RIJ1L4juwB https://t.co/pF3Z740HYn",Twitter Media Studio,57060,9226,2020-12-29 18:10:00
1344007781427326977,Leading by example. https://t.co/B4fHm6xUAv,TweetDeck,79847,5262,2020-12-29 19:50:00
1344021093321826305,Tune in as I deliver remarks on the ongoing COVID-19 crisis and what my administration will do to get this virus un… https://t.co/ryXSvrq2FD,Periscope,18477,2388,2020-12-29 20:42:54
1344068179463700480,"Once in office, I will be asking the American people to wear a mask for the first 100 days of my administration. No… https://t.co/3vJd349IZe",Twitter Media Studio,73303,7886,2020-12-29 23:50:00
1344093345207832576,"After ten months of the pandemic, we still don’t have enough testing. It’s a travesty.

We need to scale up testing… https://t.co/BVTxYnIjdB",TweetDeck,143953,12707,2020-12-30 01:30:00
1344311583879684097,RT @Transition46: President-elect Biden has nominated @kath_hicks as Deputy Secretary of Defense and @ColinKahl as Under Secretary of Defen…,Twitter Web App,0,1899,2020-12-30 15:57:12
1344322857665490944,"We’re going to make sure vaccines are free of charge.

And we’re going to ensure they are distributed equitably, so… https://t.co/a51aGwJbT2",Twitter Media Studio,39332,4877,2020-12-30 16:42:00
1344332164452790272,RT @KamalaHarris: Getting the COVID-19 vaccine will save your life. I have absolute confidence in our scientists and look forward to gettin…,Twitter Web App,0,3420,2020-12-30 17:18:59
1344366394641563649,"We can save 60,000-100,000 lives in the weeks and months ahead if we step up together.

Wear a mask. Stay socially… https://t.co/bblNvzyRqu",TweetDeck,95644,12323,2020-12-30 19:35:00
